municipio,curso,grau,eixo,ofertado_prosel_2026,vagas_regulares,D4_demanda_municipal,demanda_composta,necessidade_norm,aderencia_setorial,concorrencia_norm,nivel_concorrencia,n_ies_presenciais,n_cursos_concorrentes,II,IE,IP,prioridade_final,decisao_final,categoria_decisao,ip_alto,demanda_razoavel,plausivel_implantacao,plausivel_expansao,classificacao_final
Altamira,História,Licenciatura,EDUCACAO,False,0,0.50920989,0.5111931342024693,0.5141680005061732,0.65,0.7619047619047619,Muito Alta,5,7,0.6023761308634745,0.4341321494530513,0.6023761308634745,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Altamira,Pedagogia,Licenciatura,EDUCACAO,False,0,0.50920989,0.5111931342024693,0.5141680005061732,0.65,0.7619047619047619,Muito Alta,5,7,0.6023761308634745,0.4341321494530513,0.6023761308634745,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Altamira,Secretariado Executivo Trilíngue,Bacharelado,GESTAO_NEGOCIOS,False,0,0.50920989,0.5107201737914044,0.5129855994785112,0.65,0.7619047619047619,Muito Alta,5,7,0.6019386424832396,0.4337301331036461,0.6019386424832396,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Altamira,Letras - Língua Portuguesa,Licenciatura,EDUCACAO,False,0,0.50920989,0.5111931342024693,0.5141680005061732,0.65,0.7619047619047619,Muito Alta,5,7,0.6023761308634745,0.4341321494530513,0.6023761308634745,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Altamira,Relações Internacionais,Bacharelado,GESTAO_NEGOCIOS,False,0,0.50920989,0.5107201737914044,0.5129855994785112,0.65,0.7619047619047619,Muito Alta,5,7,0.6019386424832396,0.4337301331036461,0.6019386424832396,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Altamira,Química,Licenciatura,EDUCACAO,False,0,0.50920989,0.5111931342024693,0.5141680005061732,0.65,0.7619047619047619,Muito Alta,5,7,0.6023761308634745,0.4341321494530513,0.6023761308634745,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Altamira,Tecnologia de Alimentos,Tecnólogo,ENGENHARIA_TEC,False,0,0.50920989,0.5107201737914044,0.5129855994785112,0.35,0.7619047619047619,Muito Alta,5,7,0.5419386424832395,0.4337301331036461,0.5419386424832395,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Altamira,Letras - Língua Inglesa,Licenciatura,EDUCACAO,False,0,0.50920989,0.5111931342024693,0.5141680005061732,0.65,0.7619047619047619,Muito Alta,5,7,0.6023761308634745,0.4341321494530513,0.6023761308634745,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Altamira,Tecnologia em Comércio Exterior,Tecnólogo,GESTAO_NEGOCIOS,False,0,0.50920989,0.5107201737914044,0.5129855994785112,0.65,0.7619047619047619,Muito Alta,5,7,0.6019386424832396,0.4337301331036461,0.6019386424832396,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Altamira,Engenharia de Produção,Bacharelado,ENGENHARIA_TEC,False,0,0.50920989,0.5107201737914044,0.5129855994785112,0.35,0.7619047619047619,Muito Alta,5,7,0.5419386424832395,0.4337301331036461,0.5419386424832395,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Altamira,Design,Bacharelado,GESTAO_NEGOCIOS,False,0,0.50920989,0.5107201737914044,0.5129855994785112,0.65,0.7619047619047619,Muito Alta,5,7,0.6019386424832396,0.4337301331036461,0.6019386424832396,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Altamira,Engenharia de Software,Bacharelado,ENGENHARIA_TEC,False,0,0.50920989,0.5107201737914044,0.5129855994785112,0.35,0.7619047619047619,Muito Alta,5,7,0.5419386424832395,0.4337301331036461,0.5419386424832395,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Ananindeua,Secretariado Executivo Trilíngue,Bacharelado,GESTAO_NEGOCIOS,False,0,0.76095789,0.6617689737914045,0.5129855994785112,0.85,0.6190476190476191,Muito Alta,8,8,0.651538996768954,0.4580257845322176,0.651538996768954,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Ananindeua,Tecnologia em Comércio Exterior,Tecnólogo,GESTAO_NEGOCIOS,False,0,0.76095789,0.6617689737914045,0.5129855994785112,0.85,0.6190476190476191,Muito Alta,8,8,0.651538996768954,0.4580257845322176,0.651538996768954,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Ananindeua,Educação Física (Licenciatura),Licenciatura,EDUCACAO,False,0,0.76095789,0.630838699953433,0.4356599148835826,0.7,0.6190476190476191,Muito Alta,8,8,0.5929284934688303,0.4317350517699418,0.5929284934688303,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Ananindeua,Filosofia,Licenciatura,EDUCACAO,False,0,0.76095789,0.630838699953433,0.4356599148835826,0.7,0.6190476190476191,Muito Alta,8,8,0.5929284934688303,0.4317350517699418,0.5929284934688303,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Ananindeua,Relações Internacionais,Bacharelado,GESTAO_NEGOCIOS,False,0,0.76095789,0.6617689737914045,0.5129855994785112,0.85,0.6190476190476191,Muito Alta,8,8,0.651538996768954,0.4580257845322176,0.651538996768954,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Ananindeua,Design,Bacharelado,GESTAO_NEGOCIOS,False,0,0.76095789,0.6617689737914045,0.5129855994785112,0.85,0.6190476190476191,Muito Alta,8,8,0.651538996768954,0.4580257845322176,0.651538996768954,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Ananindeua,Letras - Língua Portuguesa,Licenciatura,EDUCACAO,False,0,0.76095789,0.630838699953433,0.4356599148835826,0.7,0.6190476190476191,Muito Alta,8,8,0.5929284934688303,0.4317350517699418,0.5929284934688303,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Ananindeua,Ciências da Religião,Licenciatura,EDUCACAO,False,0,0.76095789,0.630838699953433,0.4356599148835826,0.7,0.6190476190476191,Muito Alta,8,8,0.5929284934688303,0.4317350517699418,0.5929284934688303,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Ananindeua,Ciências Sociais,Licenciatura,EDUCACAO,False,0,0.76095789,0.630838699953433,0.4356599148835826,0.7,0.6190476190476191,Muito Alta,8,8,0.5929284934688303,0.4317350517699418,0.5929284934688303,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
Ananindeua,Pedagogia,Licenciatura,EDUCACAO,False,0,0.76095789,0.630838699953433,0.4356599148835826,0.7,0.6190476190476191,Muito Alta,8,8,0.5929284934688303,0.4317350517699418,0.5929284934688303,Alta,Implantar curso,Implantação,True,True,True,False,Fase 2 - Prioridade Alta para Estudo de Implantação
