municipio,curso,grau,eixo,ofertado_prosel_2026,vagas_regulares,D4_demanda_municipal,demanda_composta,necessidade_norm,aderencia_setorial,concorrencia_norm,nivel_concorrencia,n_ies_presenciais,n_cursos_concorrentes,II,IE,IP,prioridade_final,decisao_final,categoria_decisao,ip_alto,demanda_razoavel,plausivel_implantacao,plausivel_expansao,classificacao_final
Salvaterra,Química,Licenciatura,EDUCACAO,True,40,0.4479191,0.6094859751475055,0.8518362878687638,0.6,0.9523809523809524,Média,1,0,0.7539001026066807,0.6574968726849035,0.6574968726849035,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Salvaterra,Tecnologia de Alimentos,Tecnólogo,ENGENHARIA_TEC,True,40,0.4479191,0.4739456997914045,0.5129855994785112,0.4,0.9523809523809524,Média,1,0,0.5885253479022873,0.5422876386322176,0.5422876386322176,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
São Miguel do Guamá,Filosofia,Licenciatura,EDUCACAO,True,40,0.41703872,0.631233703441666,0.9525261786041648,0.55,0.9523809523809524,Média,1,0,0.7755968937787792,0.6852465557349399,0.6852465557349399,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
São Miguel do Guamá,Pedagogia,Licenciatura,EDUCACAO,True,40,0.41703872,0.631233703441666,0.9525261786041648,0.55,0.9523809523809524,Média,1,0,0.7755968937787792,0.6852465557349399,0.6852465557349399,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
São Miguel do Guamá,Letras - Língua Portuguesa,Licenciatura,EDUCACAO,True,40,0.41703872,0.631233703441666,0.9525261786041648,0.55,0.9523809523809524,Média,1,0,0.7755968937787792,0.6852465557349399,0.6852465557349399,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
São Miguel do Guamá,Ciências Sociais,Licenciatura,EDUCACAO,True,40,0.41703872,0.631233703441666,0.9525261786041648,0.55,0.9523809523809524,Média,1,0,0.7755968937787792,0.6852465557349399,0.6852465557349399,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
São Miguel do Guamá,Matemática,Licenciatura,EDUCACAO,True,40,0.41703872,0.631233703441666,0.9525261786041648,0.55,0.9523809523809524,Média,1,0,0.7755968937787792,0.6852465557349399,0.6852465557349399,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
São Miguel do Guamá,História,Licenciatura,EDUCACAO,True,40,0.41703872,0.631233703441666,0.9525261786041648,0.55,0.9523809523809524,Média,1,0,0.7755968937787792,0.6852465557349399,0.6852465557349399,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Tucuruí,Fisioterapia,Bacharelado,SAUDE,True,30,0.50552374,0.5188404077378421,0.5388154093446053,0.55,0.7619047619047619,Muito Alta,5,4,0.5908321651336944,0.5042381769581181,0.5042381769581181,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Tucuruí,Educação Física (Licenciatura),Licenciatura,EDUCACAO,True,40,0.50552374,0.5111559409120412,0.5196042422801029,0.55,0.7619047619047619,Muito Alta,5,4,0.5837240333198286,0.5185397134895208,0.5185397134895208,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Vigia,História,Licenciatura,EDUCACAO,True,40,0.45718982,0.6076877942864826,0.8334347557162063,0.55,0.9047619047619048,Média,2,2,0.7268555034054724,0.6436633934292244,0.6436633934292244,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Vigia,Letras - Língua Portuguesa,Licenciatura,EDUCACAO,True,40,0.45718982,0.6076877942864826,0.8334347557162063,0.55,0.9047619047619048,Média,2,2,0.7268555034054724,0.6436633934292244,0.6436633934292244,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Vigia,Pedagogia,Licenciatura,EDUCACAO,True,40,0.45718982,0.6076877942864826,0.8334347557162063,0.55,0.9047619047619048,Média,2,2,0.7268555034054724,0.6436633934292244,0.6436633934292244,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
Vigia,Matemática,Licenciatura,EDUCACAO,True,40,0.45718982,0.6076877942864826,0.8334347557162063,0.55,0.9047619047619048,Média,2,2,0.7268555034054724,0.6436633934292244,0.6436633934292244,Alta,Expandir vagas,Expansão,True,True,False,True,Fase 4 - Expansão de Vagas
